train_loss,server lr,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
2.309872531890869,[0.1],False,1,9f643_00032,2024-03-02_21-45-42,1709387142,1.3533825874328613,1.3533825874328613,11896,LAPTOP-E0GFNU3R,127.0.0.1,1.3533825874328613,1
2.2951653242111205,[0.1],False,2,9f643_00032,2024-03-02_21-45-42,1709387142,0.30616235733032227,1.6595449447631836,11896,LAPTOP-E0GFNU3R,127.0.0.1,1.6595449447631836,2
2.2913032293319704,[0.1],False,3,9f643_00032,2024-03-02_21-45-42,1709387142,0.31914687156677246,1.978691816329956,11896,LAPTOP-E0GFNU3R,127.0.0.1,1.978691816329956,3
2.28479061126709,[0.1],False,4,9f643_00032,2024-03-02_21-45-43,1709387143,0.3480689525604248,2.326760768890381,11896,LAPTOP-E0GFNU3R,127.0.0.1,2.326760768890381,4
2.273961305618286,[0.1],False,5,9f643_00032,2024-03-02_21-45-43,1709387143,0.3620319366455078,2.6887927055358887,11896,LAPTOP-E0GFNU3R,127.0.0.1,2.6887927055358887,5
2.269984722137451,[0.1],False,6,9f643_00032,2024-03-02_21-45-44,1709387144,0.359039306640625,3.0478320121765137,11896,LAPTOP-E0GFNU3R,127.0.0.1,3.0478320121765137,6
2.2570719480514527,[0.1],False,7,9f643_00032,2024-03-02_21-45-44,1709387144,0.34308385848999023,3.390915870666504,11896,LAPTOP-E0GFNU3R,127.0.0.1,3.390915870666504,7
2.2446707248687745,[0.1],False,8,9f643_00032,2024-03-02_21-45-44,1709387144,0.3321106433868408,3.7230265140533447,11896,LAPTOP-E0GFNU3R,127.0.0.1,3.7230265140533447,8
2.2286411046981813,[0.1],False,9,9f643_00032,2024-03-02_21-45-45,1709387145,0.30717921257019043,4.030205726623535,11896,LAPTOP-E0GFNU3R,127.0.0.1,4.030205726623535,9
2.2138278007507326,[0.1],False,10,9f643_00032,2024-03-02_21-45-45,1709387145,0.31017112731933594,4.340376853942871,11896,LAPTOP-E0GFNU3R,127.0.0.1,4.340376853942871,10
2.2042423725128173,[0.1],False,11,9f643_00032,2024-03-02_21-45-45,1709387145,0.30817580223083496,4.648552656173706,11896,LAPTOP-E0GFNU3R,127.0.0.1,4.648552656173706,11
2.1867504119873047,[0.1],False,12,9f643_00032,2024-03-02_21-45-45,1709387145,0.2892293930053711,4.937782049179077,11896,LAPTOP-E0GFNU3R,127.0.0.1,4.937782049179077,12
2.159568214416504,[0.1],False,13,9f643_00032,2024-03-02_21-45-46,1709387146,0.28324437141418457,5.221026420593262,11896,LAPTOP-E0GFNU3R,127.0.0.1,5.221026420593262,13
2.121054267883301,[0.1],False,14,9f643_00032,2024-03-02_21-45-46,1709387146,0.26928091049194336,5.490307331085205,11896,LAPTOP-E0GFNU3R,127.0.0.1,5.490307331085205,14
2.1057066679000855,[0.1],False,15,9f643_00032,2024-03-02_21-45-46,1709387146,0.2483365535736084,5.7386438846588135,11896,LAPTOP-E0GFNU3R,127.0.0.1,5.7386438846588135,15
2.0394954919815063,[0.1],False,16,9f643_00032,2024-03-02_21-45-47,1709387147,0.31914663314819336,6.057790517807007,11896,LAPTOP-E0GFNU3R,127.0.0.1,6.057790517807007,16
2.016891360282898,[0.1],False,17,9f643_00032,2024-03-02_21-45-47,1709387147,0.2932162284851074,6.351006746292114,11896,LAPTOP-E0GFNU3R,127.0.0.1,6.351006746292114,17
1.9336214065551758,[0.1],False,18,9f643_00032,2024-03-02_21-45-47,1709387147,0.26329755783081055,6.614304304122925,11896,LAPTOP-E0GFNU3R,127.0.0.1,6.614304304122925,18
1.8718469500541688,[0.1],False,19,9f643_00032,2024-03-02_21-45-47,1709387147,0.28822898864746094,6.902533292770386,11896,LAPTOP-E0GFNU3R,127.0.0.1,6.902533292770386,19
